e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-electrolyte\x-ray005 400um - fg  on\sb-electrolyte-1\avg\sb-electrodemouilleev2.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1205.4	281.28	389.071	359.614	359.614	359.614	359.621	359.614	359.614	359.614	359.614	359.621
1205.5	281.18	391.026	359.522	359.522	359.522	359.525	359.522	359.522	359.522	359.522	359.526
1205.6	281.08	376.188	359.473	359.473	359.473	359.475	359.473	359.473	359.473	359.473	359.475
1205.7	280.98	383.074	359.404	359.404	359.404	359.405	359.404	359.404	359.404	359.404	359.405
1205.8	280.88	353.607	359.387	359.387	359.387	359.387	359.387	359.387	359.387	359.387	359.387
1205.9	280.78	341.479	341.479	341.479	341.479	341.479	341.479	341.479	341.479	341.479	341.479
1206	280.68	359.186	359.186	359.186	359.186	359.186	359.186	359.186	359.186	359.186	359.186
1206.1	280.58	339.654	339.654	339.654	339.654	339.654	339.654	339.654	339.654	339.654	339.654
1206.2	280.48	346.427	346.427	346.427	346.427	346.427	346.427	346.427	346.427	346.427	346.427
1206.3	280.38	336.2	336.2	336.2	336.2	336.2	336.2	336.2	336.2	336.2	336.2
1206.4	280.28	334.904	334.904	334.904	334.904	334.904	334.904	334.904	334.904	334.904	334.904
1206.5	280.18	357.44	357.44	357.44	357.44	357.44	357.44	357.44	357.44	357.44	357.44
1206.6	280.08	346.1	346.1	346.1	346.1	346.1	346.1	346.1	346.1	346.1	346.1
1206.7	279.98	341.786	341.786	341.786	341.786	341.786	341.786	341.786	341.786	341.786	341.786
1206.8	279.88	321.56	321.56	321.56	321.56	321.56	321.56	321.56	321.56	321.56	321.56
1206.9	279.78	331.224	331.224	331.224	331.224	331.224	331.224	331.224	331.224	331.224	331.224
1207	279.68	328.14	328.14	328.14	328.14	328.14	328.14	328.14	328.14	328.14	328.14
1207.1	279.58	328.314	328.314	328.314	328.314	328.314	328.314	328.314	328.314	328.314	328.314
1207.2	279.48	324.299	324.299	324.299	324.299	324.299	324.299	324.299	324.299	324.299	324.299
1207.3	279.38	334.663	334.663	334.663	334.663	334.663	334.663	334.663	334.663	334.663	334.663
1207.4	279.28	319.278	319.278	319.278	319.278	319.278	319.278	319.278	319.278	319.278	319.278
1207.5	279.18	320.631	320.631	320.631	320.631	320.631	320.631	320.631	320.631	320.631	320.631
1207.6	279.08	330.944	330.944	330.944	330.944	330.944	330.944	330.944	330.944	330.944	330.944
